Date,Open,High,Low,Close,Adj Close,Volume
2020-04-09,21.620001,22.856001,21.480000,22.110001,21.384739,6536000
2020-04-13,22.200001,22.240000,20.740000,21.190001,20.494917,4721800
2020-04-14,21.670000,21.850000,19.860001,20.330000,19.663124,6596100
2020-04-15,19.100000,19.270000,18.500000,18.580000,17.970530,6313600
2020-04-16,18.430000,18.520000,17.150000,17.190001,16.626125,7355600
2020-04-17,17.770000,20.299999,17.770000,19.870001,19.218214,12662600
2020-04-20,19.070000,20.889999,18.540001,20.299999,19.634109,10178500
2020-04-21,19.320000,19.940001,18.950001,19.290001,18.657240,6203800
2020-04-22,20.049999,20.260000,19.430000,19.580000,18.937727,5812200
2020-04-23,19.920000,20.930000,19.850000,20.250000,19.585749,5601400
2020-04-24,20.570000,20.995001,20.160000,20.600000,19.924269,6454200
2020-04-27,20.840000,22.655001,20.780001,22.430000,21.694241,7674900
2020-04-28,23.139999,23.690001,22.200001,22.290001,21.940319,7819400
2020-04-29,23.400000,23.950001,22.860001,23.330000,22.964003,6215800
2020-04-30,22.490000,23.000000,21.780001,22.389999,22.038750,5289500
2020-05-01,21.629999,21.730000,21.090000,21.420000,21.083967,4264500
2020-05-04,21.000000,21.379999,20.610001,21.200001,20.867418,5864900
2020-05-05,21.740000,22.400000,21.100000,21.180000,20.847733,5820200
2020-05-06,21.459999,21.670000,20.320000,20.540001,20.217773,4197400
2020-05-07,20.889999,22.055000,20.889999,21.250000,20.916634,4983600
2020-05-08,21.930000,22.415001,21.695000,22.200001,21.851730,4670400
2020-05-11,21.770000,21.790001,20.540001,21.080000,20.749300,6957800
2020-05-12,21.209999,21.545000,20.120001,20.129999,19.814203,5207600
2020-05-13,20.000000,20.030001,18.674999,19.330000,19.026754,6905800
2020-05-14,18.740000,20.245001,18.200001,20.150000,19.833891,7658800
2020-05-15,19.799999,20.125000,19.450001,19.920000,19.607498,4215900
2020-05-18,21.160000,21.785000,20.680000,21.580000,21.241457,7479100
2020-05-19,21.299999,21.500000,20.590000,20.670000,20.345734,6491900
2020-05-20,21.190001,21.795000,21.150000,21.670000,21.330046,5465000
2020-05-21,21.500000,21.924999,21.280001,21.350000,21.015066,4320000
2020-05-22,21.500000,21.870001,20.969999,21.280001,20.946163,2651400
2020-05-26,22.719999,24.410000,22.670000,23.910000,23.534904,7724300
2020-05-27,25.889999,26.160000,24.290001,25.629999,25.227921,7129700
2020-05-28,26.110001,26.180000,24.570000,24.660000,24.273138,4995100
2020-05-29,23.980000,24.584999,23.740000,24.100000,23.721924,6825600
2020-06-01,24.420000,25.049999,24.129999,24.730000,24.342039,3228200
2020-06-02,25.240000,25.690001,24.825001,25.120001,24.725924,5090200
2020-06-03,26.120001,27.170000,25.950001,26.820000,26.399252,6353900
2020-06-04,26.660000,28.469999,26.400000,28.459999,28.013523,6025800
2020-06-05,31.360001,32.980000,29.030001,29.250000,28.791132,10055600
2020-06-08,30.629999,31.070000,29.475000,30.410000,29.932934,10600500
2020-06-09,28.870001,30.100000,28.500000,29.510000,29.047052,5588900
2020-06-10,29.110001,29.240000,27.170000,27.250000,26.822506,8988200
2020-06-11,25.000000,26.065001,24.340000,24.480000,24.095963,7522700
2020-06-12,26.200001,26.290001,24.584999,25.820000,25.414940,4722700
2020-06-15,24.320000,26.889999,24.270000,26.650000,26.231918,5615000
2020-06-16,28.280001,28.450001,26.410000,27.240000,26.812664,6394100
2020-06-17,27.250000,27.415001,26.280001,26.370001,25.956312,4287300
2020-06-18,25.969999,26.885000,25.780001,26.150000,25.739763,4455900
2020-06-19,26.760000,26.760000,25.025000,25.350000,24.952314,16909100
2020-06-22,25.020000,25.785000,24.879999,25.430000,25.031059,4647700
2020-06-23,25.990000,26.469999,25.629999,25.799999,25.395254,4733800
2020-06-24,25.330000,25.400000,23.959999,24.080000,23.702238,5363900
2020-06-25,23.860001,25.385000,23.610001,25.260000,24.863726,5413100
2020-06-26,24.570000,24.600000,22.820000,23.160000,22.796669,13151700
2020-06-29,23.500000,23.790001,23.040001,23.530001,23.160866,7956700
2020-06-30,23.379999,25.410000,23.309999,25.240000,24.844040,8059200
2020-07-01,25.230000,25.230000,24.010000,24.230000,23.849884,4898200
2020-07-02,25.010000,25.139999,23.639999,23.760000,23.387257,6692300
2020-07-06,24.400000,24.930000,23.920000,24.270000,23.889257,3902600
2020-07-07,23.879999,23.930000,23.389999,23.500000,23.131336,3938900
2020-07-08,23.410000,23.770000,23.030001,23.660000,23.288826,4074800
2020-07-09,23.379999,23.650000,22.530001,22.730000,22.373415,4102700
2020-07-10,22.730000,24.180000,22.709999,24.180000,23.800669,4605200
2020-07-13,24.670000,24.889999,23.754999,24.370001,23.987688,4819300
2020-07-14,24.170000,24.350000,23.540001,23.889999,23.515217,3860900
2020-07-15,24.750000,25.520000,24.360001,25.450001,25.050745,3893600
2020-07-16,25.100000,26.030001,24.850000,25.450001,25.050745,5141900
2020-07-17,26.670000,27.424000,25.120001,25.150000,24.755451,6493100
2020-07-20,25.040001,25.320000,24.600000,24.670000,24.282982,5049100
2020-07-21,24.809999,25.670000,24.655001,25.549999,25.149176,4945100
2020-07-22,25.120001,25.690001,24.959999,25.510000,25.109804,4927100
2020-07-23,25.340000,26.215000,25.250000,26.049999,25.641331,5753900
2020-07-24,26.139999,26.350000,25.540001,25.580000,25.178705,5731100
2020-07-27,25.350000,25.490000,24.725000,24.860001,24.470001,4854800
2020-07-28,24.290001,24.704000,24.080000,24.180000,24.180000,3813100
2020-07-29,24.209999,25.370001,23.924999,25.350000,25.350000,4775700
2020-07-30,24.480000,25.000000,24.030001,24.780001,24.780001,4269200
2020-07-31,24.540001,24.840000,24.065001,24.809999,24.809999,6109500
2020-08-03,24.799999,24.889999,24.139999,24.230000,24.230000,5454900
2020-08-04,24.200001,24.420000,24.020000,24.209999,24.209999,3720400
2020-08-05,24.540001,24.910000,24.355000,24.870001,24.870001,4020400
2020-08-06,24.639999,24.995001,24.549999,24.760000,24.760000,3520900
2020-08-07,24.459999,25.440001,24.325001,25.430000,25.430000,4235700
2020-08-10,25.620001,26.325001,25.600000,25.879999,25.879999,3715100
2020-08-11,26.809999,27.570000,26.559999,26.650000,26.650000,4731800
2020-08-12,27.370001,27.370001,25.818001,26.490000,26.490000,3258700
2020-08-13,26.090000,26.219999,25.610001,25.690001,25.690001,3139600
2020-08-14,25.410000,26.190001,25.299999,25.900000,25.900000,1935500
2020-08-17,25.680000,25.830000,25.389999,25.440001,25.440001,2104500
2020-08-18,25.379999,25.440001,24.645000,24.760000,24.760000,2545500
2020-08-19,24.709999,25.299999,24.580000,24.799999,24.799999,3777300
2020-08-20,24.440001,24.549999,24.090000,24.299999,24.299999,2685300
2020-08-21,24.299999,24.600000,24.150000,24.190001,24.190001,3166300
2020-08-24,24.299999,25.230000,24.150000,25.230000,25.230000,2856700
2020-08-25,25.709999,25.889999,25.100000,25.540001,25.540001,4333700
2020-08-26,25.459999,25.705000,25.280001,25.360001,25.360001,7896100
2020-08-27,25.420000,26.230000,25.200001,26.010000,26.010000,4418300
2020-08-28,26.260000,26.340000,25.980000,26.290001,26.290001,3175100
2020-08-31,26.160000,26.190001,25.820000,25.870001,25.870001,6579500
2020-09-01,25.590000,26.510000,25.530001,26.170000,26.170000,6891000
2020-09-02,26.110001,26.990000,25.900000,26.790001,26.790001,5926500
